Plate,Time,Temperature,Row,Column,Luminescence
# Luminescence of evolved V. harveyi
# Eric Bruger - 2012/06/27

Plate1,10:00:00,30.0,5,10,310.573
Plate1,10:00:00,30.0,5,11,343.779
Plate1,10:00:00,30.0,6,0,2775.627
Plate1,10:00:00,30.0,6,1,511303.344
Plate1,10:00:00,30.0,6,2,855428.437
Plate1,10:00:00,30.0,6,3,4289.428
Plate1,10:00:00,30.0,6,4,708314.25
Plate1,10:00:00,30.0,6,5,741715.625
Plate1,10:00:00,30.0,6,6,2148.621
Plate1,10:00:00,30.0,6,7,1060.637
Plate1,10:00:00,30.0,6,8,572.314
Plate1,10:00:00,30.0,6,9,376.985
Plate1,10:00:00,30.0,6,10,275.414
Plate1,10:00:00,30.0,6,11,398.471
Plate1,10:00:00,30.0,7,0,1234.48
Plate1,10:00:00,30.0,7,1,1927.899
Plate1,10:00:00,30.0,7,2,1972.824
Plate1,10:00:00,30.0,7,3,1679.831
Plate1,10:00:00,30.0,7,4,1920.086
Plate1,10:00:00,30.0,7,5,1750.149
Plate1,10:00:00,30.0,7,6,959.066
Plate1,10:00:00,30.0,7,7,660.213
Plate1,10:00:00,30.0,7,8,396.518
Plate1,10:00:00,30.0,7,9,259.788
Plate1,10:00:00,30.0,7,10,320.34
Plate1,10:00:00,30.0,7,11,156.263
Plate1,10:15:00,30.0,0,0,2745.986
Plate1,10:15:00,30.0,0,1,1739.319
Plate1,10:15:00,30.0,0,2,1424.493
Plate1,10:15:00,30.0,0,3,1743.206
Plate1,10:15:00,30.0,0,4,1173.797
Plate1,10:15:00,30.0,0,5,631.596
Plate1,10:15:00,30.0,0,6,382.845
Plate1,10:15:00,30.0,0,7,254.582
Plate1,10:15:00,30.0,0,8,229.318
Plate1,10:15:00,30.0,0,9,157.413
Plate1,10:15:00,30.0,0,10,149.64
Plate1,10:15:00,30.0,0,11,134.093
Plate1,10:15:00,30.0,1,0,1098134.125
Plate1,10:15:00,30.0,1,1,3643.825
Plate1,10:15:00,30.0,1,2,3391.186
Plate1,10:15:00,30.0,1,3,683461.063
Plate1,10:15:00,30.0,1,4,2477.801
Plate1,10:15:00,30.0,1,5,1076.629
Plate1,10:15:00,30.0,1,6,806.5
Plate1,10:15:00,30.0,1,7,417.825
Plate1,10:15:00,30.0,1,8,308.996
Plate1,10:15:00,30.0,1,9,233.205
Plate1,10:15:00,30.0,1,10,192.394
Plate1,10:15:00,30.0,1,11,157.413
Plate1,10:15:00,30.0,2,0,1025376.188
Plate1,10:15:00,30.0,2,1,4677.699
Plate1,10:15:00,30.0,2,2,4203.516
Plate1,10:15:00,30.0,2,3,651558.625
Plate1,10:15:00,30.0,2,4,3171.585
Plate1,10:15:00,30.0,2,5,1679.074
Plate1,10:15:00,30.0,2,6,1387.568
Plate1,10:15:00,30.0,2,7,816.217
Plate1,10:15:00,30.0,2,8,542.201
Plate1,10:15:00,30.0,2,9,343.977
Plate1,10:15:00,30.0,2,10,221.545
Plate1,10:15:00,30.0,2,11,149.64
Plate1,10:15:00,30.0,3,0,1002864.125
Plate1,10:15:00,30.0,3,1,4446.438
Plate1,10:15:00,30.0,3,2,4399.797
Plate1,10:15:00,30.0,3,3,678007.875
Plate1,10:15:00,30.0,3,4,3812.898
Plate1,10:15:00,30.0,3,5,2697.402
Plate1,10:15:00,30.0,3,6,1766.526
Plate1,10:15:00,30.0,3,7,952.253
Plate1,10:15:00,30.0,3,8,649.087
Plate1,10:15:00,30.0,3,9,347.864
Plate1,10:15:00,30.0,3,10,272.072
Plate1,10:15:00,30.0,3,11,186.564
Plate1,10:15:00,30.0,4,0,3956.708
Plate1,10:15:00,30.0,4,1,491704.5
Plate1,10:15:00,30.0,4,2,767591.625
Plate1,10:15:00,30.0,4,3,5136.335
Plate1,10:15:00,30.0,4,4,646185.188
Plate1,10:15:00,30.0,4,5,702115.5
Plate1,10:15:00,30.0,4,6,1888.959
Plate1,10:15:00,30.0,4,7,969.743
