Update,NOT,NAND,AND,EPS,OR,ANDN,NOR,XOR,EQU
# Reaction counts - Low resource environment
# Brian Connelly - 2011/12/15

10700.0,210.0,4.0,83.0,32.0,150.0,3186.0,4177.0,0.0,0.0
10800.0,253.0,1.0,51.0,28.0,103.0,3042.0,4107.0,0.0,0.0
10900.0,239.0,5.0,61.0,21.0,80.0,3274.0,4246.0,0.0,0.0
11000.0,210.0,2.0,60.0,23.0,80.0,3030.0,3972.0,0.0,0.0
11100.0,202.0,0.0,49.0,25.0,164.0,2795.0,3894.0,0.0,0.0
11200.0,206.0,3.0,55.0,21.0,241.0,2831.0,4066.0,0.0,0.0
11300.0,222.0,5.0,62.0,23.0,211.0,3042.0,4138.0,0.0,0.0
11400.0,202.0,3.0,41.0,25.0,204.0,2888.0,4021.0,0.0,0.0
11500.0,229.0,3.0,49.0,34.0,214.0,3074.0,4124.0,0.0,0.0
11600.0,240.0,6.0,54.0,38.0,380.0,2830.0,4087.0,0.0,0.0
11700.0,229.0,6.0,29.0,25.0,401.0,2837.0,4143.0,0.0,0.0
11800.0,254.0,0.0,42.0,32.0,370.0,2849.0,4080.0,0.0,0.0
11900.0,254.0,0.0,54.0,43.0,348.0,2867.0,4127.0,0.0,0.0
12000.0,244.0,1.0,41.0,25.0,374.0,2727.0,4075.0,0.0,0.0
12100.0,264.0,9.0,48.0,27.0,608.0,2677.0,4169.0,0.0,0.0
12200.0,282.0,3.0,53.0,32.0,751.0,2457.0,4189.0,0.0,0.0
12300.0,254.0,3.0,43.0,41.0,695.0,2441.0,4279.0,0.0,0.0
12400.0,209.0,4.0,44.0,33.0,634.0,2407.0,4176.0,0.0,0.0
12500.0,217.0,4.0,53.0,42.0,771.0,2344.0,4259.0,0.0,0.0
12600.0,270.0,1.0,45.0,54.0,692.0,2232.0,4277.0,0.0,0.0
12700.0,300.0,3.0,77.0,41.0,756.0,2252.0,4408.0,0.0,0.0
12800.0,278.0,3.0,69.0,71.0,820.0,2221.0,4158.0,0.0,0.0
12900.0,236.0,2.0,73.0,79.0,933.0,2290.0,4265.0,0.0,0.0
13000.0,218.0,7.0,57.0,64.0,870.0,2078.0,4045.0,0.0,0.0
13100.0,235.0,5.0,73.0,39.0,824.0,2202.0,4034.0,0.0,0.0
13200.0,203.0,5.0,52.0,62.0,1025.0,2139.0,4245.0,0.0,0.0
13300.0,237.0,9.0,53.0,36.0,1025.0,2242.0,4318.0,0.0,0.0
13400.0,183.0,15.0,37.0,55.0,984.0,2021.0,4048.0,0.0,0.0
13500.0,175.0,10.0,47.0,43.0,998.0,2161.0,4272.0,0.0,0.0
13600.0,217.0,5.0,38.0,29.0,993.0,1964.0,4062.0,0.0,0.0
13700.0,192.0,3.0,48.0,47.0,961.0,2057.0,4135.0,0.0,0.0
13800.0,242.0,7.0,59.0,31.0,1169.0,1874.0,4141.0,0.0,0.0
13900.0,222.0,4.0,59.0,57.0,1057.0,2153.0,4318.0,0.0,0.0
14000.0,182.0,5.0,61.0,52.0,994.0,2102.0,4185.0,0.0,0.0
14100.0,218.0,7.0,62.0,41.0,1231.0,2127.0,4293.0,0.0,0.0
14200.0,200.0,8.0,50.0,42.0,1168.0,2117.0,4354.0,0.0,0.0
14300.0,186.0,7.0,65.0,36.0,1279.0,1927.0,4259.0,0.0,0.0
14400.0,211.0,1.0,37.0,45.0,1182.0,1901.0,4195.0,0.0,0.0
14500.0,208.0,6.0,44.0,32.0,1283.0,1841.0,4100.0,0.0,0.0
14600.0,205.0,4.0,51.0,41.0,1078.0,1821.0,3906.0,0.0,0.0
14700.0,193.0,4.0,53.0,37.0,1217.0,2014.0,4264.0,0.0,0.0
14800.0,210.0,2.0,51.0,40.0,1093.0,2088.0,4129.0,0.0,0.0
14900.0,207.0,4.0,58.0,45.0,1286.0,2067.0,4392.0,0.0,0.0
15000.0,190.0,4.0,47.0,35.0,1124.0,2155.0,4316.0,0.0,0.0
15100.0,223.0,5.0,53.0,43.0,1162.0,1975.0,4216.0,0.0,1.0
15200.0,225.0,2.0,43.0,35.0,1235.0,2199.0,4520.0,0.0,0.0
15300.0,235.0,7.0,47.0,35.0,1155.0,2080.0,4391.0,0.0,0.0
15400.0,223.0,10.0,31.0,29.0,1349.0,1942.0,4338.0,0.0,0.0
15500.0,209.0,9.0,51.0,37.0,1341.0,1805.0,4227.0,0.0,0.0
15600.0,204.0,12.0,56.0,53.0,1310.0,1836.0,4226.0,0.0,0.0
